camera	frame	cX	cY	area	minI	maxI	meanI
right	228	295	212	3.0	116.0	169.0	138.0
left	229	360	212	2.0	114.0	170.0	139.0
right	229	295	212	3.0	115.0	168.0	137.0
left	230	360	212	2.0	114.0	170.0	139.0
right	230	295	212	3.0	115.0	168.0	137.0
left	231	360	212	3.0	116.0	163.0	133.85714285714286
right	231	295	212	3.0	115.0	168.0	137.0
left	232	360	212	3.0	116.0	163.0	133.85714285714286
right	232	120	65	0.5	121.0	140.0	123.5
right	232	295	213	2.0	116.0	156.0	136.16666666666666
left	233	360	212	3.0	116.0	163.0	133.85714285714286
right	233	120	65	0.5	121.0	140.0	123.5
right	233	295	213	2.0	116.0	156.0	136.16666666666666
left	234	360	212	3.0	116.0	163.0	133.85714285714286
right	234	120	65	0.5	121.0	140.0	123.5
right	234	295	213	2.0	116.0	156.0	136.16666666666666
left	235	359	212	4.0	112.0	178.0	135.55555555555554
right	235	120	65	0.5	121.0	140.0	123.5
right	235	295	213	2.0	116.0	156.0	136.16666666666666
left	236	359	212	4.0	112.0	178.0	135.55555555555554
right	236	295	213	3.5	112.0	164.0	130.625
left	237	359	212	4.0	112.0	178.0	135.55555555555554
right	237	295	213	3.5	112.0	164.0	130.625
left	238	359	212	4.0	112.0	178.0	135.55555555555554
right	238	295	213	3.5	112.0	164.0	130.625
left	239	359	212	1.5	121.0	154.0	138.6
right	239	295	213	3.5	112.0	164.0	130.625
left	240	359	212	1.5	121.0	154.0	138.6
right	240	120	65	1.5	112.0	135.0	120.0
right	240	295	212	4.0	117.0	168.0	131.0
left	241	359	212	1.5	121.0	154.0	138.6
