frame	dist	x	y	xmin	xmax	ymin	ymax
768	87.23	205.3	327.89	116.13	301.06	259.57	399.29
769	87.3	205.36	327.78	116.13	301.23	259.24	399.29
770	87.44	205.14	327.58	115.37	301.09	258.56	399.19
771	87.38	204.39	327.25	114.66	300.21	258.42	399.22
772	87.37	203.52	326.95	114.32	299.23	257.5	399.52
773	87.43	202.86	326.68	113.92	298.42	257.29	399.36
774	87.55	201.62	326.12	113.17	297.46	256.52	399.39
775	87.62	201.02	326.02	112.79	296.67	256.59	399.19
776	87.74	200.21	326.1	111.44	296.75	256.37	399.59
777	87.92	199.33	326.48	110.77	295.5	256.3	400.35
778	88.19	198.67	326.91	109.56	295.61	256.66	400.76
779	88.59	197.11	327.91	108.53	294.22	257.58	402.54
780	88.89	196.28	328.47	107.31	294.1	257.87	403.36
781	89.2	195.65	329.23	106.54	293.0	258.75	404.66
782	89.49	194.97	330.11	105.23	293.01	259.48	405.73
783	89.88	194.48	331.02	104.66	292.82	260.42	406.8
784	90.42	193.95	331.99	103.32	292.72	260.67	408.51
785	91.15	192.35	333.6	100.79	292.41	261.06	411.01
786	91.47	191.47	334.25	100.16	291.89	261.94	412.42
787	91.87	190.41	334.73	98.49	291.29	261.85	413.35
788	92.08	189.07	334.89	97.29	290.18	261.99	413.86
789	92.33	187.51	334.52	95.63	288.88	261.47	413.62
790	92.6	185.85	333.85	94.15	287.8	260.42	413.65
791	92.77	181.7	331.93	89.88	283.83	258.22	412.17
792	92.96	179.25	331.2	87.24	281.36	257.29	412.16
793	93.0	176.67	330.48	84.51	279.36	256.54	411.81
794	93.08	174.18	329.78	81.79	277.17	255.82	411.56
795	93.23	171.88	329.33	79.34	274.85	255.4	411.5
796	93.37	169.69	328.9	77.1	272.71	254.78	411.19
797	93.65	165.89	328.32	73.38	268.83	253.91	410.63
798	93.94	164.15	327.99	71.35	267.58	253.44	410.92
799	94.12	162.24	327.68	69.26	265.42	252.79	410.63
800	94.27	160.23	327.24	67.29	264.06	251.58	410.63
801	94.54	158.47	326.72	64.78	262.47	251.1	410.84
802	94.76	157.05	326.15	63.43	261.39	249.81	410.59
803	95.5	155.35	325.1	61.16	260.35	248.57	410.2
804	95.94	154.85	324.96	60.28	260.56	248.37	410.24
805	96.27	154.43	324.93	59.4	260.76	248.12	410.22
806	96.72	153.91	325.1	58.71	260.28	248.39	410.16
807	97.07	153.37	325.35	57.65	260.28	248.51	410.6
808	97.48	152.85	325.62	56.74	260.24	248.52	411.38
809	98.12	152.24	326.12	55.17	259.75	248.23	412.34
810	98.42	152.42	326.31	55.35	260.75	248.23	412.78
811	98.83	152.88	326.55	55.31	261.66	248.23	412.75
812	99.16	153.67	326.86	55.22	262.62	248.26	413.26
813	99.48	154.56	327.32	55.93	264.02	248.58	413.45
814	99.74	155.44	327.74	56.11	264.96	249.31	413.85
815	100.0	156.47	328.08	56.94	266.54	249.36	414.44
816	100.01	156.51	328.1	57.01	266.57	249.31	414.53
817	99.99	156.51	328.11	57.01	266.57	249.34	414.6
818	100.02	156.15	327.63	57.12	266.01	248.41	414.61
819	100.07	155.58	326.9	57.01	265.65	247.54	413.8
820	100.0	154.64	326.26	56.13	264.65	246.71	413.39
821	100.0	153.36	325.86	54.58	263.47	246.17	413.17
822	100.09	150.73	325.6	52.13	260.86	245.68	413.94
823	100.32	149.47	325.84	50.85	260.08	245.62	414.45
824	100.48	148.42	326.15	49.91	259.48	245.67	414.84
825	100.8	147.71	326.61	48.36	258.89	245.67	415.58
826	101.17	147.36	326.97	47.83	259.16	245.62	416.33
827	101.53	147.22	327.31	47.1	259.67	245.6	417.11
828	102.22	147.32	327.67	46.13	260.73	245.61	417.88
829	102.36	147.4	327.7	45.72	260.88	245.6	418.28
