frame	cX	cY	area	minI	maxI	meanI	camera	tank	cXtank	match_status
698	377	314	395.5	181.0	255.0	232.8333333333333	left	left_tank1	192.0	match
698	2173	329	344.5	181.0	255.0	230.82152230971127	right	right_tank1	111.0	match
698	2286	340	343.5	181.0	255.0	238.42894736842103	right	right_tank1	224.0	match
698	298	386	97.0	181.0	255.0	231.65254237288136	left	left_tank1	113.0	match
698	2196	407	94.5	181.0	255.0	232.47413793103448	right	right_tank1	134.0	match
699	377	289	331.0	181.0	255.0	218.07466666666667	left	left_tank1	192.0	match
699	262	311	313.5	181.0	255.0	229.76878612716763	left	left_tank1	77.0	match
699	2288	311	129.0	181.0	242.0	212.80864197530863	right	right_tank1	226.0	match
699	377	316	347.5	181.0	255.0	231.86197916666663	left	left_tank1	192.0	match
699	2173	327	331.0	181.0	255.0	228.0298913043478	right	right_tank1	111.0	match
699	2286	339	378.5	0.0	255.0	234.78072289156628	right	right_tank1	224.0	match
699	2392	365	17.5	181.0	225.0	209.53333333333333	right	right_tank1	330.0	
699	299	386	113.5	166.0	255.0	229.4925373134328	left	left_tank1	114.0	match
699	2196	405	92.5	181.0	255.0	232.4553571428572	right	right_tank1	134.0	match
700	377	287	250.5	181.0	255.0	216.06071428571428	left	left_tank1	192.0	match
700	262	311	317.5	181.0	255.0	234.79656160458453	left	left_tank1	77.0	match
700	2291	311	197.5	0.0	224.0	209.1004366812227	right	right_tank1	229.0	match
700	2294	313	19.0	0.0	194.0	191.7037037037037	right	right_tank1	232.0	
700	376	315	394.0	181.0	255.0	236.2188940092166	left	left_tank1	191.0	match
700	2172	327	357.5	181.0	255.0	230.9090909090909	right	right_tank1	110.0	match
700	2286	338	380.0	181.0	255.0	235.7334905660377	right	right_tank1	224.0	match
700	299	386	112.5	166.0	255.0	229.69172932330827	left	left_tank1	114.0	match
700	2196	405	93.0	181.0	255.0	230.1304347826087	right	right_tank1	134.0	match
701	376	286	251.0	181.0	240.0	215.9081272084805	left	left_tank1	191.0	match
701	2288	310	227.0	181.0	250.0	216.8192307692308	right	right_tank1	226.0	match
701	263	311	307.0	181.0	255.0	231.6843657817109	left	left_tank1	78.0	match
701	376	314	429.0	0.0	255.0	234.59829059829065	left	left_tank1	191.0	match
701	372	302	13.0	0.0	236.0	197.3	left	left_tank1	187.0	ydif
701	2173	328	268.5	181.0	255.0	228.8131147540984	right	right_tank1	111.0	match
701	2284	338	338.0	181.0	255.0	232.16844919786087	right	right_tank1	222.0	match
701	298	386	106.5	181.0	255.0	231.7054263565892	left	left_tank1	113.0	
701	2197	405	99.0	182.0	255.0	228.97457627118644	right	right_tank1	135.0	ydif
702	2287	310	106.5	181.0	209.0	205.28125	right	right_tank1	225.0	match
702	264	309	409.5	181.0	255.0	232.560706401766	left	left_tank1	79.0	match
702	377	302	793.0	178.0	255.0	225.9886104783599	left	left_tank1	192.0	match
702	2172	327	316.5	181.0	255.0	231.98033707865167	right	right_tank1	110.0	match
702	2285	338	351.5	181.0	255.0	230.75968992248065	right	right_tank1	223.0	
702	299	386	107.5	181.0	250.0	223.375	left	left_tank1	114.0	match
702	2197	403	78.5	183.0	255.0	234.11340206185565	right	right_tank1	135.0	match
703	261	294	16.0	181.0	200.0	200.4583333333333	left	left_tank1	76.0	match
703	375	287	199.5	181.0	219.0	209.93859649122803	left	left_tank1	190.0	match
703	2288	310	147.5	181.0	219.0	208.3625730994152	right	right_tank1	226.0	match
703	264	310	362.0	181.0	255.0	231.82914572864323	left	left_tank1	79.0	match
703	376	314	366.5	181.0	255.0	230.7067669172932	left	left_tank1	191.0	match
703	2172	325	318.0	0.0	255.0	229.26610644257704	right	right_tank1	110.0	match
703	2177	318	14.5	0.0	238.0	187.8636363636364	right	right_tank1	115.0	match
703	2284	340	367.5	181.0	255.0	230.46829268292683	right	right_tank1	222.0	match
703	299	386	102.0	181.0	255.0	224.22950819672133	left	left_tank1	114.0	match
703	2197	403	83.0	181.0	255.0	231.6320754716981	right	right_tank1	135.0	match
704	376	287	235.0	181.0	225.0	211.1804511278196	left	left_tank1	191.0	match
704	2287	310	145.5	181.0	219.0	208.01183431952663	right	right_tank1	225.0	match
704	262	311	375.5	181.0	255.0	227.1800486618005	left	left_tank1	77.0	match
704	375	314	393.0	181.0	255.0	229.8995327102804	left	left_tank1	190.0	match
704	2172	326	348.0	0.0	255.0	233.0904392764858	right	right_tank1	110.0	match
704	2178	317	16.0	0.0	253.0	189.25	right	right_tank1	116.0	
704	2285	339	396.5	181.0	255.0	231.0467706013363	right	right_tank1	223.0	match
704	297	385	116.5	183.0	255.0	227.6058394160584	left	left_tank1	112.0	match
704	2197	405	89.0	180.0	255.0	230.46296296296296	right	right_tank1	135.0	match
705	2286	307	186.0	181.0	245.0	209.4454545454545	right	right_tank1	224.0	match
705	261	309	326.5	181.0	255.0	232.2425068119891	left	left_tank1	76.0	match
705	377	303	684.5	0.0	255.0	224.0064599483204	left	left_tank1	192.0	match
705	2172	327	315.5	181.0	255.0	235.95454545454547	right	right_tank1	110.0	match
